year,hcpc,modifier,sdesc,proc_stat,nused_for_med,rvu_work,trans_nfac_pe,trans_nfac_pe_naflag,full_nfac_pe,full_nfac_pe_naflag,trans_fac_pe,trans_fac_pe_naflag,full_fac_pe,full_fac_pe_naflag,rvu_mp,trans_nfac_total,full_nfac_total,trans_fac_total,full_fac_total,pctc,global,pre_op,intra_op,post_op,mult_surg,bilt_surg,asst_surg,co_surg,team_surg,endobase,conv_fact,phy_superv,chemo_flag,family_ind,opps_nfac_pe,opps_fac_pe,opps_mp,work_adjustor,update_val,nfac_pe,nfac_pe_naflag,fac_pe,fac_pe_naflag,nfac_total,fac_total
2023.0,A2009,  ,"Symphony, per sq cm",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2010,  ,"Apis, per square centimeter",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2011,  ,"Supra sdrm, per sq cm",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2012,  ,"Suprathel, per sq cm",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2013,  ,"Innovamatrix fs, per sq cm",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2014,  ,Omeza collag per 100 mg,C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2015,  ,"Phoenix wnd mtrx, per sq cm",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2016,  ,"Permeaderm b, per sq cm",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2017,  ,"Permeaderm glove, each",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2018,  ,"Permeaderm c, per sq cm",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2019,  ,Kerecis marigen shld sq cm,C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2020,  ,Ac5 wound system,C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2021,  ,Neomatrix per sq cm,C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2022,  ,Innovabrn/innovamatx xl sqcm,C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2023,  ,"Innovamatrix pd, 1 mg",C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2024,  ,Resolve matrix per sq cm,C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A2025,  ,Miro3d per cubic cm,C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A4100,  ,Skin sub fda clrd as dev nos,C,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A4206,  ,1 cc sterile syringe&needle,X,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A4207,  ,2 cc sterile syringe&needle,X,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A4208,  ,3 cc sterile syringe&needle,X,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A4209,  ,5+ cc sterile syringe&needle,X,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
2023.0,A4210,  ,Nonneedle injection device,N,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,XXX,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,,33.8872,09,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
